Order Date,Order Time,Order Id,Reference Number,Order Source,Sub Total,Total Merchant Tax,Total Tax,Total Discount,Net Payable,ItemName,Item Quantity,Item Total,Item Discount,Item Taxes
10/12/22,1:32:00 PM,LTGG76APMPFB,1.53735E+11,Swiggy,279,24.44,24.44,0,303,Chipotle Chicken Regular Salad ,1,279,0,24.44
10/12/22,1:58:38 PM,LTGG771G68PF,1.53736E+11,Swiggy,434,28.94,28.94,65.1,397.9,Peri Peri Chicken Enchiladas(3pc) ,1,299,56.85,25.27
10/12/22,1:58:38 PM,LTGG771G68PF,1.53736E+11,Swiggy,434,28.94,28.94,65.1,397.9,Pink Lime Juice ,1,55,8.25,3.67
10/12/22,5:30:29 PM,LTGG7CVOYO65,1.53749E+11,Swiggy,418,49.26,49.26,62.7,404.3,Chipotle Chicken Regular Nachos ,1,279,41.85,32.88
10/12/22,5:30:29 PM,LTGG7CVOYO65,1.53749E+11,Swiggy,418,49.26,49.26,62.7,404.3,Peri Peri Fries ,1,139,20.85,16.38
10/12/22,7:09:56 PM,LTGG7FM90RC8,1.53755E+11,Swiggy,1096,86.3,86.3,0,1182,Fresh Broccoli Regular  Nachos ,1,279,0,21.97
10/12/22,7:09:56 PM,LTGG7FM90RC8,1.53755E+11,Swiggy,1096,86.3,86.3,0,1182,Fresh Broccoli Regular Tacos ,1,289,0,22.76
10/12/22,7:09:56 PM,LTGG7FM90RC8,1.53755E+11,Swiggy,1096,86.3,86.3,0,1182,Mexican Chipotle Paneer Regular Nachos ,1,279,0,21.97
10/12/22,7:09:56 PM,LTGG7FM90RC8,1.53755E+11,Swiggy,1096,86.3,86.3,0,1182,Mexican Corn Cheese Quesadilla ,1,189,0,19.61
10/12/22,7:16:58 PM,LTGG7FT1B0B3,1.53755E+11,Swiggy,558,43.9,43.9,100,502,Mexican Chipotle Paneer Regular Burrito ,1,279,50,21.95
10/12/22,7:16:58 PM,LTGG7FT1B0B3,1.53755E+11,Swiggy,558,43.9,43.9,100,502,Mexican Chipotle Paneer Regular  Salad  ,1,279,50,21.95
10/12/22,9:30:00 PM,LT19P0Y3768JK0,1.53763E+11,Swiggy,279,24.44,24.44,0,303,Grilled Bbq Chicken Regular Rice Bowl  ,1,279,0,24.44
10/12/22,9:51:07 PM,LTGG7K290UFQ,1.53764E+11,Swiggy,558,40.46,40.46,168.7,429.3,Grilled Bbq Chicken Regular Salad ,1,279,84.35,20.23
10/12/22,9:51:07 PM,LTGG7K290UFQ,1.53764E+11,Swiggy,558,40.46,40.46,168.7,429.3,Peri Peri Chicken Regular Salad ,1,279,84.35,20.23
10/12/22,12:10:56 PM,LTGG742ET95T,1.5373E+11,Swiggy,279,20.44,20.44,80,219,Mexican Chipotle Paneer Regular Rice Bowl  ,1,279,80,20.44
10/12/22,12:38:53 PM,LT4KHZCEURU5M,1.53731E+11,Swiggy,558,43.9,43.9,100,502,Chipotle Chicken Regular Burrito ,2,558,100,43.9
11/12/22,1:55:26 PM,LT19P31K9800JK,1.53822E+11,Swiggy,558,43.9,43.9,100,502,Chipotle Chicken Regular Burrito ,1,279,50,21.95
11/12/22,1:55:26 PM,LT19P31K9800JK,1.53822E+11,Swiggy,558,43.9,43.9,100,502,Grilled Bbq Chicken Regular Burrito ,1,279,50,21.95
11/12/22,4:00:13 PM,LTGG8E31QG08,1.5383E+11,Swiggy,484,37.22,37.22,96.8,424.2,Corn Chips And Salsa ,1,150,30,11.54
11/12/22,4:00:13 PM,LTGG8E31QG08,1.5383E+11,Swiggy,484,37.22,37.22,96.8,424.2,Grilled Bbq Chicken Regular Rice Bowl  ,1,279,55.8,21.46
11/12/22,4:00:13 PM,LTGG8E31QG08,1.5383E+11,Swiggy,484,37.22,37.22,96.8,424.2,Pink Lime Juice ,1,55,11,4.23
11/12/22,5:02:21 PM,LT4KICDYCVBW4,1.53834E+11,Swiggy,279,24.44,24.44,0,303,Grilled Bbq Chicken Regular Rice Bowl  ,1,279,0,24.44
11/12/22,7:07:25 PM,LTGG8J8SEAA7,1.53841E+11,Swiggy,438,17.9,17.9,80,376,Grilled Bbq Chicken Quesadillas  ,1,219,40,8.95
11/12/22,7:07:25 PM,LTGG8J8SEAA7,1.53841E+11,Swiggy,438,17.9,17.9,80,376,Peri Peri Chicken Quesadilla  ,1,219,40,8.95
11/12/22,7:12:25 PM,LTGG8JDDGOWH,4532243142,Zomato,279,0,12.86,41.85,257.15,Peri Peri Paneer Regular Salad ,1,279,41.85,12.86
11/12/22,7:19:16 PM,LT4KIDFQ3S9NA,1.53842E+11,Swiggy,279,24.44,24.44,0,303,Chipotle Chicken Regular Burrito ,1,279,0,24.44
